State_Year,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Montana2009,2009,Montana,244.4007519,Mathematics,4,141782,1607935,195705,765177,647053,1622485,855803,509899,66973,158151
Maine2009,2009,Maine,244.4557328,Mathematics,4,187372,2623127,245063,1107152,1270912,2624504,1383650,857706,148378,108016
Colorado2011,2011,Colorado,244.4560971,Mathematics,4,834832,8747471,969288,3493923,4284260,8676451,4204486,2804955,338267,827354
North Carolina2011,2011,North Carolina,244.5179008,Mathematics,4,1448117,14409515,2046954,7488570,4873991,13767024,7566249,3843709,696313,980517
Ohio2007,2007,Ohio,244.5327317,Mathematics,4,1758645,22142424,1461326,9341723,11339375,21336580,10202242,6930905,876199,2595974
Wisconsin2011,2011,Wisconsin,244.6918655,Mathematics,4,864251,11664303,1002909,5226954,5434440,11440718,6138402,3668777,479352,541918
Wisconsin2013,2013,Wisconsin,244.7062916,Mathematics,4,863737,11097447,827432,5587013,4683002,10845059,5637545,3551036,496850,521352
North Dakota2015,2015,North Dakota,244.7138306,Mathematics,4,106061,1644533,158373,942772,543388,1804762,825445,483984,110836,303053
Connecticut2009,2009,Connecticut,244.7177427,Mathematics,4,539250,9681268,403017,3606594,5671657,9323053,5054397,2805173,330685,763075
North Carolina2013,2013,North Carolina,244.8017329,Mathematics,4,1468228,12729402,1579889,7891977,3257536,13650536,7681386,3957680,744037,653058
Washington2015,2015,Washington,244.9814222,Mathematics,4,1072359,13709442,1036422,8293812,4379208,13630138,6508964,4510672,546926,1601069
Indiana2007,2007,Indiana,245.144255,Mathematics,4,1034588,10458932,765168,5224450,4469314,11462062,5511104,3351081,448190,887670
North Dakota2011,2011,North Dakota,245.156416,Mathematics,4,96255,1309044,186844,630430,491770,1312226,660944,360118,86352,124967
Maryland2013,2013,Maryland,245.1693795,Mathematics,4,859252,13814727,828432,6093652,6892643,13284637,7303090,4243954,357919,955586
North Dakota2009,2009,North Dakota,245.1895263,Mathematics,4,94653,1150142,160294,407374,582474,1137260,579830,310316,78735,95977
Kansas2009,2009,Kansas,245.3086536,Mathematics,4,470445,5615208,378810,3291485,1944913,5827751,2883104,1578417,223951,958961
Virginia2011,2011,Virginia,245.3336181,Mathematics,4,1250852,14655345,1427301,5351177,7876867,14675815,7861076,4602566,579290,1075067
New Jersey2015,2015,New Jersey,245.3832201,Mathematics,4,1339230,29335237,1154004,11423305,16757928,28809725,15339450,9414336,1271558,1290946
North Dakota2007,2007,North Dakota,245.4158542,Mathematics,4,96577,1045678,150165,355662,539851,1042175,523778,283833,69691,90844
Ohio2013,2013,Ohio,245.5497969,Mathematics,4,1613718,22536516,1721213,8990516,11824787,22015797,10800145,7376469,916885,1998557
New Hampshire2005,2005,New Hampshire,245.6259264,Mathematics,4,202223,2332695,125956,878957,1327782,2333264,1261140,651058,65668,163780
Pennsylvania2011,2011,Pennsylvania,245.6549103,Mathematics,4,1670854,28492510,3371827,9261234,15859449,28810721,13761915,7947108,1207139,2189151
Minnesota2005,2005,Minnesota,245.7461911,Mathematics,4,814660,8777363,529037,5912340,2335986,9082593,4637773,2157574,646632,937357
Kansas2005,2005,Kansas,245.7820465,Mathematics,4,468481,4223632,356865,2360120,1506647,4076597,2174402,1257432,183824,308365
Iowa2013,2013,Iowa,245.7935055,Mathematics,4,499489,6281345,459132,3118413,2703800,6318241,3174989,1748683,254025,783793
Maine2013,2013,Maine,245.8470018,Mathematics,4,184682,2650346,196466,1029166,1424714,2535405,1351259,867538,116847,70345
Virginia2013,2013,Virginia,246.1774569,Mathematics,4,1264880,15322318,1108879,5874323,8339116,15634918,8445746,4874065,626080,1089417
Kansas2013,2013,Kansas,246.1857019,Mathematics,4,488590,5667223,420820,3193838,2052565,5621023,2969201,1595974,243032,616590
Kansas2011,2011,Kansas,246.2553348,Mathematics,4,482692,5538869,612100,2945175,1981594,5662146,2839803,1530694,220493,851777
Washington2013,2013,Washington,246.2883381,Mathematics,4,1050901,12242231,1042200,7159428,4040603,12097549,5911337,3777476,537261,1443002
Vermont2007,2007,Vermont,246.357405,Mathematics,4,89329,1836316,97086,1237083,502147,1804519,800453,439237,41603,70359
North Dakota2013,2013,North Dakota,246.4247949,Mathematics,4,101025,1405349,145905,685348,574096,1516575,718970,400607,94995,224615
Wyoming2013,2013,Wyoming,246.5224009,Mathematics,4,91533,1695967,113501,881114,701352,1675477,846872,546422,52001,213920
New Jersey2009,2009,New Jersey,246.5298698,Mathematics,4,1354912,26510413,1014556,10401527,15094330,26145334,13800343,8687138,952796,1499241
Virginia2015,2015,Virginia,246.6126217,Mathematics,4,1279867,15857524,1012205,6240349,8604970,16113212,8755896,5075509,627473,1086722
Vermont2011,2011,Vermont,246.6397299,Mathematics,4,86982,1686499,106823,1329172,250504,1722515,888388,511825,53418,63655
Wyoming2015,2015,Wyoming,246.7597645,Mathematics,4,93867,1962874,120290,1116917,725667,1942406,895910,565489,52520,409425
New Jersey2013,2013,New Jersey,246.8709092,Mathematics,4,1338657,28070096,1145079,10986132,15938885,28179900,15489942,9131634,1218744,933676
Colorado2013,2013,Colorado,246.975708,Mathematics,4,851063,8826868,696266,3693829,4436773,8699125,4292898,2773716,365228,758041
Minnesota2007,2007,Minnesota,246.9977624,Mathematics,4,810104,9693509,546297,6267386,2879826,10030105,5048143,2405182,730882,1074228
Maryland2011,2011,Maryland,247.1065558,Mathematics,4,851971,13443940,1255964,5508339,6679637,13247697,7205515,4150447,482356,989839
Massachusetts2005,2005,Massachusetts,247.337049,Mathematics,4,955225,12976279,761359,5434971,6779949,12726283,7203922,3750687,391078,803602
Indiana2015,2015,Indiana,247.6521836,Mathematics,4,1004215,12456571,929878,7676341,3850352,11378564,5537406,3712136,547516,948358
Vermont2009,2009,Vermont,247.7672261,Mathematics,4,86320,1683034,102453,1336424,244157,1661019,859433,489015,49100,64170
Vermont2013,2013,Vermont,247.8032947,Mathematics,4,89200,1817307,114697,1431621,270989,1809138,935593,538854,57026,55825
Kansas2007,2007,Kansas,247.9236542,Mathematics,4,468974,5038100,346441,2889107,1802552,4823931,2602503,1418802,199749,427238
New Jersey2011,2011,New Jersey,248.0041626,Mathematics,4,1399409,26242376,1283994,9331426,15626956,25716298,14113108,8634990,909456,917304
New Hampshire2007,2007,New Hampshire,248.5715266,Mathematics,4,198625,2600123,137058,936882,1526183,2608190,1395619,733978,70608,208008
Indiana2013,2013,Indiana,248.5967774,Mathematics,4,1002772,12236713,980013,7503451,3753249,11211155,5535933,3595471,527250,862576
New Jersey2007,2007,New Jersey,248.6215224,Mathematics,4,1363804,25293076,991769,10101279,14200028,25572112,13250745,8316185,868012,1997462
New Hampshire2015,2015,New Hampshire,249.1506214,Mathematics,4,183039,3093061,164905,1000063,1928093,3044720,1697165,938368,75581,125475
Minnesota2011,2011,Minnesota,249.1866861,Mathematics,4,798891,10912368,842906,6289912,3779550,10612480,5644771,2520057,805204,1016875
Minnesota2009,2009,Minnesota,249.4555342,Mathematics,4,800831,10353784,575703,6590788,3187293,11193640,5815987,2712430,803017,1187008
Minnesota2015,2015,Minnesota,249.575847,Mathematics,4,807044,11684249,629909,7567199,3487141,11969872,6257807,2933999,893322,1328863
Massachusetts2015,2015,Massachusetts,250.5657778,Mathematics,4,916130,16985185,778939,6808436,9397810,16972319,9774884,5043032,497880,1034539
New Hampshire2009,2009,New Hampshire,251.0717526,Mathematics,4,197024,2816162,146867,1002239,1667056,2757401,1546316,822081,74820,112359
New Hampshire2011,2011,New Hampshire,251.7788368,Mathematics,4,189275,2947007,184768,1061011,1701228,3001244,1654129,855476,77384,206241
Massachusetts2009,2009,Massachusetts,252.2547897,Mathematics,4,932437,15298022,1181681,5974489,8141852,15174814,8885949,4626112,456737,589413
Massachusetts2007,2007,Massachusetts,252.4303198,Mathematics,4,945070,14407777,754202,6485380,7168195,14315518,8053653,4248353,422102,951016
New Hampshire2013,2013,New Hampshire,252.9935252,Mathematics,4,187703,2976317,163890,1020089,1792338,2878534,1642945,879507,76488,72588
Massachusetts2013,2013,Massachusetts,253.0337852,Mathematics,4,920968,16114783,818054,6428534,8868195,16201905,9097982,4759997,467050,1283156
Massachusetts2011,2011,Massachusetts,253.3964558,Mathematics,4,924903,15396681,1197383,5783240,8416058,15150898,8685894,4583586,445972,817228
Minnesota2013,2013,Minnesota,253.4209611,Mathematics,4,802454,10848720,646542,6792440,3409738,10942019,5826404,2652321,850969,1016760
District of Columbia1996,1996,District of Columbia,232.8315095,Mathematics,8,79802,678874,57870,0,621004,703245,334893,312944,39956,15452
District of Columbia2000,2000,District of Columbia,234.4287981,Mathematics,8,70762,881423,184825,0,696598,858807,318260,429891,23107,87549
District of Columbia1992,1992,District of Columbia,234.9246213,Mathematics,8,0,709480,64749,0,644731,742893,329160,316679,0,47272
District of Columbia2003,2003,District of Columbia,243.0596382,Mathematics,8,67522,1114061,152599,0,961462,1105963,473414,406078,32193,194278
District of Columbia2005,2005,District of Columbia,245.2157808,Mathematics,8,62306,1109605,167922,0,941683,1085658,459063,450060,38671,134417
Mississippi1992,1992,Mississippi,246.4580354,Mathematics,8,0,1684706,277706,901199,505801,1691990,956104,445364,0,131795
District of Columbia2007,2007,District of Columbia,248.1987424,Mathematics,8,56943,1148358,134700,0,1013658,1140506,491992,437772,40703,167103
Louisiana1992,1992,Louisiana,249.9839259,Mathematics,8,0,3341253,367822,1848734,1124697,3362853,1888349,986486,0,135305
Mississippi1996,1996,Mississippi,250.2154891,Mathematics,8,503602,2241561,295014,1285429,661118,2268726,1238512,599427,166353,231093
Alabama1992,1992,Alabama,252.1875224,Mathematics,8,0,2678885,304177,1659028,715680,2653798,1481703,735036,0,174053
Louisiana1996,1996,Louisiana,252.3803947,Mathematics,8,796087,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287,236616
District of Columbia2009,2009,District of Columbia,253.5951869,Mathematics,8,44331,801008,75856,0,725152,805362,330698,370127,38514,66023
Mississippi2000,2000,Mississippi,254.0339003,Mathematics,8,499362,2743284,368830,1504225,870229,2996474,1524728,810371,183118,421075
Arkansas1992,1992,Arkansas,256.3120904,Mathematics,8,0,1711959,178571,958785,574603,1743022,964323,483488,0,145212
Alabama1996,1996,Alabama,256.5948632,Mathematics,8,735912,3365113,334858,2138717,891538,3572283,1987018,935115,322883,286699
Hawaii1992,1992,Hawaii,257.4108874,Mathematics,8,0,996809,71273,903443,22093,1040121,536115,291376,0,126212
North Carolina1992,1992,North Carolina,258.4053748,Mathematics,8,0,5236099,389145,3283378,1563576,5418687,2847638,1422278,0,774194
Tennessee1992,1992,Tennessee,258.8280481,Mathematics,8,0,3080490,308571,1305381,1466538,3132516,1830264,799825,0,232437
Louisiana2000,2000,Louisiana,258.9820018,Mathematics,8,750755,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212,414669
West Virginia1992,1992,West Virginia,259.0864484,Mathematics,8,0,1585099,130117,1021803,433179,1587968,835186,465429,0,156015
Georgia1992,1992,Georgia,259.3594336,Mathematics,8,0,5536901,398701,2798674,2339526,5535942,3043984,1559059,0,526644
New Mexico1992,1992,New Mexico,259.6067177,Mathematics,8,0,1330091,161520,990653,177918,1339829,683253,432392,0,139206
New Mexico2000,2000,New Mexico,259.844673,Mathematics,8,324489,2191695,296222,1571088,324385,2165031,1048533,727644,101479,255735
Florida1992,1992,Florida,259.9088482,Mathematics,8,0,11506299,788420,5683949,5033930,11305642,5166374,3410440,0,1667826
District of Columbia2011,2011,District of Columbia,260.4668778,Mathematics,8,44199,1283071,155505,0,1127566,1297175,525185,389526,56132,326332
South Carolina1992,1992,South Carolina,260.772544,Mathematics,8,0,2842626,249903,1350148,1242575,2922293,1544232,768292,0,261644
South Carolina1996,1996,South Carolina,260.7754476,Mathematics,8,635678,3594408,287181,1870037,1437190,3493720,1820849,986157,235742,367884
California1992,1992,California,260.8922468,Mathematics,8,0,26260025,2072470,16546514,7641041,27138832,14358922,8520926,0,2044688
Mississippi2003,2003,Mississippi,260.9119336,Mathematics,8,491623,3260771,482904,1754451,1023416,3205193,1702193,965269,203597,267397
Arkansas2000,2000,Arkansas,261.3637127,Mathematics,8,450751,2844855,254735,2126099,464021,2683400,1531232,804253,138220,146666
Arkansas1996,1996,Arkansas,261.6527453,Mathematics,8,452907,2183384,192152,1296247,694985,2297381,1264275,636106,127007,203555
Alabama2003,2003,Alabama,261.9390222,Mathematics,8,727900,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662,432279
New Mexico1996,1996,New Mexico,261.9703667,Mathematics,8,329661,1750519,215525,1281567,253427,1642517,798365,519816,81877,218014
Hawaii1996,1996,Hawaii,262.1300817,Mathematics,8,187104,1199019,91391,1079097,28531,1231550,671105,328131,103048,129266
Alabama2000,2000,Alabama,262.1582055,Mathematics,8,730184,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909,663903
California2000,2000,California,262.1710266,Mathematics,8,5941946,46628207,4024940,26877920,15725347,45829753,23514388,12429070,2269603,5849441
Alabama2005,2005,Alabama,262.2111,Mathematics,8,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944
Kentucky1992,1992,Kentucky,262.2412816,Mathematics,8,0,2642902,289902,1643109,709891,2518082,1343438,817871,0,136694
Mississippi2005,2005,Mississippi,262.4562427,Mathematics,8,494382,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190,281713
Georgia1996,1996,Georgia,262.4660209,Mathematics,8,1311126,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934,1042930
California1996,1996,California,262.7724784,Mathematics,8,5460484,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407,2580639
Hawaii2000,2000,Hawaii,262.7725605,Mathematics,8,185860,1404895,127042,1247256,30597,1363511,765134,373038,109367,115972
Delaware1992,1992,Delaware,262.8685854,Mathematics,8,0,645233,45945,420942,178346,638784,372722,194915,0,30595
District of Columbia2015,2015,District of Columbia,263.0597763,Mathematics,8,46155,1382282,146366,0,1235916,1360942,557345,379854,41841,381902
Tennessee1996,1996,Tennessee,263.118935,Mathematics,8,881749,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847,460149
New Mexico2003,2003,New Mexico,263.2729067,Mathematics,8,320264,2626262,383513,1905419,337330,2658140,1239571,851701,131177,399406
New Mexico2005,2005,New Mexico,263.275163,Mathematics,8,326102,2982991,480888,2102670,399433,3011696,1395996,955266,149000,466166
Tennessee2000,2000,Tennessee,263.4365997,Mathematics,8,907222,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022,743326
Florida1996,1996,Florida,263.6393936,Mathematics,8,2175352,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115,2042385
Texas1992,1992,Texas,264.5928284,Mathematics,8,0,16264180,1160185,6706959,8397036,16119084,7961379,4613884,0,1833239
Maryland1992,1992,Maryland,264.8254931,Mathematics,8,0,4658498,228336,1778834,2651328,4698374,2628891,1461083,0,340298
West Virginia1996,1996,West Virginia,264.8652054,Mathematics,8,306451,1958647,158572,1222505,577570,1936848,1131846,556873,130467,101350
Mississippi2007,2007,Mississippi,264.8909187,Mathematics,8,494135,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539,379581
Mississippi2009,2009,Mississippi,265.0019582,Mathematics,8,491194,4392101,675576,2334363,1382162,4552756,2317710,1392119,275915,493773
District of Columbia2013,2013,District of Columbia,265.2593657,Mathematics,8,44179,1300036,129874,0,1170162,1308438,559940,332997,39825,375676
Arizona1992,1992,Arizona,265.3662778,Mathematics,8,0,3258079,297888,1369815,1590376,3401580,1435908,1007732,0,609114
Hawaii2005,2005,Hawaii,265.6293191,Mathematics,8,183185,2274166,236973,1986615,50578,1765805,1007207,559178,137949,61471
Hawaii2003,2003,Hawaii,265.728581,Mathematics,8,183829,2078877,170377,1873318,35182,1602392,888473,521929,128941,63049
Arkansas2003,2003,Arkansas,265.7715893,Mathematics,8,450158,3241275,379947,2394336,466992,3242799,1768713,972598,170767,247245
Rhode Island1992,1992,Rhode Island,265.9071091,Mathematics,8,0,883073,43545,329810,509718,863404,556787,265279,0,14685
Alabama2007,2007,Alabama,266.0001099,Mathematics,8,743273,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077,687816
Louisiana2003,2003,Louisiana,266.3283593,Mathematics,8,723252,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709,409705
Georgia2000,2000,Georgia,266.3320473,Mathematics,8,1422941,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396,1520834
South Carolina2000,2000,South Carolina,266.3536995,Mathematics,8,666780,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840,716110
New York1992,1992,New York,266.4223001,Mathematics,8,0,21630179,1172030,8697663,11760486,22815611,13288972,6132532,0,1640971
Alabama2015,2015,Alabama,266.5553185,Mathematics,8,734974,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283,510091
Kentucky1996,1996,Kentucky,266.591684,Mathematics,8,639531,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647,413638
Delaware1996,1996,Delaware,266.7336733,Mathematics,8,108461,860410,48796,567123,244491,823530,447461,245924,34748,72077
California2003,2003,California,267.0495006,Mathematics,8,6226552,59815855,5795655,33617766,20402434,59749885,29561563,17030335,2995767,7341541
Michigan1992,1992,Michigan,267.3531943,Mathematics,8,0,9963137,537917,2539380,6885840,10170688,4681327,3321276,0,825552
New Mexico2007,2007,New Mexico,267.5380787,Mathematics,8,327816,3272953,444466,2360542,467945,3279467,1610295,1103097,119933,396529
Louisiana2005,2005,Louisiana,267.7550308,Mathematics,8,717625,5975074,844640,2787542,2342892,5941561,3264689,1854202,362965,350658
North Carolina1996,1996,North Carolina,267.8345603,Mathematics,8,1181600,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269,687268
Virginia1992,1992,Virginia,267.8637263,Mathematics,8,0,5631293,313971,2180133,3137189,5744469,2982862,1758078,0,523409
Arizona1996,1996,Arizona,267.8748343,Mathematics,8,764681,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650,877190
Nevada2003,2003,Nevada,268.0431377,Mathematics,8,369498,2778564,191839,1663026,923699,3009028,1406660,767835,88985,576610
Ohio1992,1992,Ohio,268.1241978,Mathematics,8,0,9285961,472604,3631703,5181654,9483822,5172782,2961942,0,742377
Oklahoma1992,1992,Oklahoma,268.1319896,Mathematics,8,0,2396705,211627,1470516,714562,2515272,1283577,779828,0,194081
Tennessee2003,2003,Tennessee,268.1757286,Mathematics,8,905050,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055,635950
Nevada2000,2000,Nevada,268.1815991,Mathematics,8,325610,2252416,110210,1378678,763528,2437438,1114489,695694,69965,428541
Louisiana2015,2015,Louisiana,268.4323551,Mathematics,8,661015,8448743,1235580,3480365,3732798,8437263,4100906,2774314,416066,780338
Alabama2009,2009,Alabama,268.5241203,Mathematics,8,745668,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019,924956
California2005,2005,California,268.5581286,Mathematics,8,6307022,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465,10223657
Hawaii2007,2007,Hawaii,268.7720134,Mathematics,8,180728,2985593,256696,2681049,47848,2199604,1177781,732536,151243,138044
Rhode Island1996,1996,Rhode Island,268.8773081,Mathematics,8,148977,1135192,57826,459171,618195,1092459,699778,321959,24931,20181
Alabama2011,2011,Alabama,269.0965158,Mathematics,8,746933,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140,564183
West Virginia2005,2005,West Virginia,269.0994928,Mathematics,8,279456,2701056,329159,1607433,764464,2698703,1524187,852145,174265,137026
Alabama2013,2013,Alabama,269.1942806,Mathematics,8,744548,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737,643522
Mississippi2011,2011,Mississippi,269.2356456,Mathematics,8,490526,4516742,1006465,2071467,1438810,4345783,2238165,1393211,274243,368906
Georgia2003,2003,Georgia,269.6770092,Mathematics,8,1495819,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880,1705482
Maryland1996,1996,Maryland,269.6814314,Mathematics,8,805544,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330,449601
New Mexico2009,2009,New Mexico,269.7042538,Mathematics,8,328737,3703477,519973,2615320,568184,3945515,1807514,1167618,132017,784529
Virginia1996,1996,Virginia,269.7544047,Mathematics,8,1079854,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988,721139
Nevada2005,2005,Nevada,269.9055855,Mathematics,8,399727,3381646,251421,1996995,1133230,3483540,1665706,926213,115483,584219
West Virginia2007,2007,West Virginia,270.0840936,Mathematics,8,281298,2905489,353571,1677212,874706,2983267,1608247,941055,189649,228873
Indiana1992,1992,Indiana,270.0989439,Mathematics,8,0,5060274,257044,2578149,2225081,5182754,2598925,1478639,0,536404
Texas1996,1996,Texas,270.1995776,Mathematics,8,3740260,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475,2667181
New York1996,1996,New York,270.231486,Mathematics,8,2788343,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356,1835923
California2007,2007,California,270.381784,Mathematics,8,6288686,72516936,7200298,42333637,22983001,73225422,34685013,20655194,3467540,10058842
West Virginia2009,2009,West Virginia,270.4157659,Mathematics,8,281908,3097212,355325,1793917,947970,3121728,1759397,994305,196984,157049
California2009,2009,California,270.4485881,Mathematics,8,6234155,73958896,9745250,40084244,24129402,74766086,35617964,21693675,3759373,8881265
Tennessee2005,2005,Tennessee,270.5245768,Mathematics,8,940769,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064,483208
Mississippi2015,2015,Mississippi,270.5804793,Mathematics,8,490189,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117,407791
Arizona2000,2000,Arizona,270.7154059,Mathematics,8,814807,5479168,534619,2481089,2463460,5397194,2488932,1573568,270671,768425
West Virginia2003,2003,West Virginia,270.7703534,Mathematics,8,281591,2497707,267470,1519848,710389,2524444,1420396,761887,164473,166233
West Virginia2000,2000,West Virginia,270.7800763,Mathematics,8,290982,2243151,210082,1365346,667723,2243563,1271988,672003,156775,129872
Nevada2007,2007,Nevada,270.8040244,Mathematics,8,422782,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918,731227
New Mexico2015,2015,New Mexico,270.8975344,Mathematics,8,326297,3789651,499789,2595682,694180,3846641,1773801,1256303,154435,587243
Missouri1992,1992,Missouri,271.1315447,Mathematics,8,0,4043682,255194,1903124,1885364,4197600,2168135,1221397,0,474552
Mississippi2013,2013,Mississippi,271.1609673,Mathematics,8,492847,4444064,707522,2213501,1523041,4370050,2274357,1465175,284089,285801
Arizona2003,2003,Arizona,271.1773505,Mathematics,8,875111,6529894,740579,2912629,2876686,6210287,2810907,1964229,303924,864642
Oklahoma2005,2005,Oklahoma,271.3599024,Mathematics,8,629145,4892548,678448,2440741,1773359,4785987,2303527,1569038,467321,397131
Florida2003,2003,Florida,271.3714902,Mathematics,8,2536699,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274,2924134
Pennsylvania1992,1992,Pennsylvania,271.3784388,Mathematics,8,0,11257252,658139,4227323,6371790,11539253,6075381,3329224,0,964457
West Virginia2015,2015,West Virginia,271.4507088,Mathematics,8,279565,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836,232738
Kentucky2000,2000,Kentucky,271.5615114,Mathematics,8,646467,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400,515109
Arkansas2005,2005,Arkansas,271.6363484,Mathematics,8,461667,3978240,447012,2995788,535440,3999608,2118580,1173643,200865,393713
Oklahoma2000,2000,Oklahoma,271.6457939,Mathematics,8,627032,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753,286261
Oklahoma2003,2003,Oklahoma,271.9051513,Mathematics,8,624202,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806,307213
New Jersey1992,1992,New Jersey,271.9055612,Mathematics,8,0,10814689,416063,4504718,5893908,10452340,6042936,2911782,0,474259
Rhode Island2003,2003,Rhode Island,271.9986944,Mathematics,8,157286,1728055,109011,713197,905847,1646238,971700,525727,64258,31360
Georgia2005,2005,Georgia,272.1915644,Mathematics,8,1552758,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022,1794894
Rhode Island2005,2005,Rhode Island,272.3450181,Mathematics,8,153596,1903472,145957,747359,1010156,1790591,1023496,616544,74850,20070
Louisiana2009,2009,Louisiana,272.3799067,Mathematics,8,662774,7984550,1238259,3568903,3177388,8053960,4051985,2542723,408292,824390
Louisiana2007,2007,Louisiana,272.3862996,Mathematics,8,662302,7048732,1234006,2911249,2903477,6657341,3430268,2140586,363037,618284
Colorado1992,1992,Colorado,272.3984329,Mathematics,8,0,3185173,163253,1307986,1713934,3264826,1642466,1035970,0,364760
Louisiana2013,2013,Louisiana,272.7609665,Mathematics,8,671156,8121179,1229248,3370399,3521532,7940880,3963343,2657751,436167,644212
New Mexico2013,2013,New Mexico,272.7618089,Mathematics,8,327209,3518621,519318,2401884,597419,3536546,1709797,1096508,145330,514077
California2011,2011,California,272.7698031,Mathematics,8,6202604,70953331,9990221,37752712,23210398,69847705,34225248,20266047,3486160,6523770
Massachusetts1992,1992,Massachusetts,272.7832013,Mathematics,8,0,5517659,273946,1439051,3804662,5245560,2751871,1523068,0,167247
Louisiana2011,2011,Louisiana,272.8433339,Mathematics,8,665109,8022917,1497262,3269321,3256334,8218870,4162557,2582814,406798,809639
West Virginia2011,2011,West Virginia,273.2631731,Mathematics,8,282130,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866,269242
Missouri1996,1996,Missouri,273.2848872,Mathematics,8,873867,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616,568575
Rhode Island2000,2000,Rhode Island,273.4257851,Mathematics,8,155351,1464820,81655,610999,772166,1388454,845667,421472,57496,30587
Missouri2000,2000,Missouri,273.5757804,Mathematics,8,913517,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060,756817
Connecticut1992,1992,Connecticut,273.7393446,Mathematics,8,0,3834302,143542,1342539,2348221,3721338,2148041,1142600,0,48542
Hawaii2009,2009,Hawaii,273.7586067,Mathematics,8,179478,2689758,392837,2205032,91889,2318671,1402305,718309,129473,68584
Arkansas2007,2007,Arkansas,273.8998622,Mathematics,8,474532,4415981,483689,3319030,613262,4779308,2337748,1378576,450454,470562
Tennessee2007,2007,Tennessee,273.9787866,Mathematics,8,978084,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587,593354
Kentucky2005,2005,Kentucky,273.9830272,Mathematics,8,674502,5444309,646215,3121503,1676591,5750671,2864633,1660844,336579,741433
Tennessee2011,2011,Tennessee,274.0387103,Mathematics,8,986382,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721,661195
Florida2005,2005,Florida,274.0483769,Mathematics,8,2645280,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005,3803764
Nevada2009,2009,Nevada,274.1485417,Mathematics,8,430985,4442101,425133,2272415,1744553,4577881,2145779,1364083,142194,633545
Kentucky2003,2003,Kentucky,274.2784722,Mathematics,8,660782,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473,127011
Arizona2005,2005,Arizona,274.30509,Mathematics,8,919875,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097,861286
Utah1992,1992,Utah,274.3431771,Mathematics,8,0,1555799,105349,872510,577940,1547980,841552,396073,0,155425
West Virginia2013,2013,West Virginia,274.4301347,Mathematics,8,282310,3486366,383169,2027414,1075783,3488877,1828234,1130079,225073,284685
New Mexico2011,2011,New Mexico,274.4547015,Mathematics,8,331373,3591330,636436,2355210,599684,3694437,1744548,1124390,140296,616478
