,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
185,2003,Alaska,232.9916543,Mathematics,4,133303,1425948,259423,1610289,763525,5.727740560977622
186,2005,Illinois,233.067494,Mathematics,4,2072437,21611180,1835598,22035569,11063949,5.33861777221696
187,2003,Maryland,233.0798523,Mathematics,4,866743,8700979,571108,8732518,4738579,5.467109627652026
188,2005,Rhode Island,233.4367723,Mathematics,4,153596,1903472,145957,1790591,1023496,6.663558946847574
189,2005,Georgia,233.6357378,Mathematics,4,1552758,14724731,1375318,14492666,7886069,5.078749554019364
190,2013,California,233.6544646,Mathematics,4,6208733,68868516,7836263,69727119,34194878,5.50754525923405
191,2003,Florida,233.7288115,Mathematics,4,2536699,19549835,1956803,20180142,9622598,3.7933542765617836
192,2015,Nevada,233.8270162,Mathematics,4,438948,4345419,395630,4183085,2170424,4.944603916637051
193,2005,Oklahoma,233.9553288,Mathematics,4,629145,4892548,678448,4785987,2303527,3.661361053493233
194,2011,California,234.1649932,Mathematics,4,6202604,70953331,9990221,69847705,34225248,5.517883779135344
195,2015,Mississippi,234.2430531,Mathematics,4,490189,4592343,672366,4624539,2350872,4.795848132047027
196,2000,Connecticut,234.2433747,Mathematics,4,530363,5884078,234321,5605280,3189123,6.013094804878922
197,2015,Louisiana,234.2819018,Mathematics,4,661015,8448743,1235580,8437263,4100906,6.203953011656316
198,2007,Hawaii,234.286135,Mathematics,4,180728,2985593,256696,2199604,1177781,6.516870656456111
199,2000,Indiana,234.4214288,Mathematics,4,987214,8489991,426266,8518477,4143020,4.196678734296718
200,2011,West Virginia,234.6558068,Mathematics,4,282130,3475642,510256,3670119,2010407,7.125817885371991
201,2003,Utah,234.7829509,Mathematics,4,483066,2875622,263030,2957874,1508566,3.122898320312338
202,2003,Missouri,234.8364254,Mathematics,4,921625,7622601,559732,7905481,4087984,4.435626203716262
203,2003,Idaho,234.9437647,Mathematics,4,248515,1685984,162530,1726941,924434,3.7198318008973303
204,2000,Massachusetts,234.9596133,Mathematics,4,958907,9464271,480898,9466363,5624037,5.865049478208001
205,2005,Missouri,235.0355476,Mathematics,4,902659,8340865,694008,8170965,4224716,4.680301199013138
206,2007,Kentucky,235.0879202,Mathematics,4,646360,6226696,677570,6351636,3184235,4.926410978402129
207,2009,Nevada,235.1522739,Mathematics,4,430985,4442101,425133,4577881,2145779,4.97877884381127
208,2011,Arizona,235.157597,Mathematics,4,946571,8429186,1245814,8610417,3977772,4.202296499681482
209,2003,Colorado,235.1931161,Mathematics,4,751049,6297242,400219,6685029,3168745,4.219092229668104
210,2015,West Virginia,235.2046615,Mathematics,4,279565,3478401,362959,3466981,1819903,6.509766959383327
211,2007,Georgia,235.2090171,Mathematics,4,1628409,17755989,1475463,17389530,9507096,5.838272817209927
212,2015,Arkansas,235.2154697,Mathematics,4,479682,5308625,581412,5350543,2620399,5.46278367751969
213,2000,Minnesota,235.2708876,Mathematics,4,839839,7344747,330914,7736391,3825732,4.555315959368403
214,2005,Alaska,235.5107055,Mathematics,4,132568,1599739,302846,1751718,829666,6.258418321163479
215,2005,Arkansas,235.545467,Mathematics,4,461667,3978240,447012,3999608,2118580,4.588978636116508
216,2009,South Carolina,235.6683025,Mathematics,4,714290,7669733,734602,8427391,3854229,5.395888224670652
217,2009,Hawaii,235.6797808,Mathematics,4,179478,2689758,392837,2318671,1402305,7.813241734362986
218,2003,Michigan,235.6869747,Mathematics,4,1764327,18488359,1357006,19680370,8725075,4.945270916332404
219,2015,Michigan,235.7288937,Mathematics,4,1345009,19025996,1582706,17742903,9040821,6.7217550217136095
220,2003,Montana,235.7549153,Mathematics,4,149801,1205602,171819,1214879,687104,4.586778459422835
221,2003,South Carolina,235.7932235,Mathematics,4,691736,5709707,535356,6024747,2888468,4.175679739091214
222,2003,Delaware,235.8594245,Mathematics,4,111282,1242436,91986,1317447,673997,6.056657860210995
223,2007,Rhode Island,235.8779358,Mathematics,4,147861,2100679,165167,2082332,1177636,7.964480153657827
224,2003,New York,235.9300755,Mathematics,4,2879228,38033080,2591430,41603390,24786376,8.60868816224349
225,2003,Pennsylvania,235.9470171,Mathematics,4,1757066,19811545,1419644,20626459,10151195,5.777355546120635
226,2009,Georgia,236.0295729,Mathematics,4,1649598,17972839,1644548,19025136,10063924,6.100834263863074
227,2007,Oregon,236.0396573,Mathematics,4,559643,5648586,526411,5634955,2999104,5.358959193628795
228,2013,Alaska,236.1220044,Mathematics,4,131091,2545117,320938,2665933,1324649,10.104805059081096
229,2003,Nebraska,236.2541084,Mathematics,4,283934,2600831,225861,2623966,1414919,4.983267238160981
230,2013,Nevada,236.2628994,Mathematics,4,431776,4131800,392009,4057443,2058538,4.767606351441488
231,2009,Michigan,236.2797197,Mathematics,4,1537515,19616665,2094714,19992550,9422685,6.12851581935786
232,2003,Oregon,236.3059056,Mathematics,4,552135,4592019,407432,4978764,2458415,4.452561420667047
233,2015,Alaska,236.328417,Mathematics,4,130755,2920986,344111,2968341,1484610,11.354135597109098
234,2007,West Virginia,236.3378058,Mathematics,4,281298,2905489,353571,2983267,1608247,5.717235813976637
235,2011,Alaska,236.359658,Mathematics,4,131704,2357828,420152,2443898,1215062,9.22570309178157
236,2011,Michigan,236.4022137,Mathematics,4,1455966,19374026,2525528,18469948,9198775,6.317987507950049
237,2015,Georgia,236.4525193,Mathematics,4,1717805,18584666,1831221,18501103,10081483,5.868816891323521
238,2013,South Carolina,236.6258997,Mathematics,4,722249,8254462,814137,8224795,3933177,5.445735473500136
239,2003,Wisconsin,236.755414,Mathematics,4,875390,8931497,530014,9128279,4844788,5.534433795222701
240,2009,Oklahoma,236.7809856,Mathematics,4,644549,6029807,768972,5941799,2836912,4.401390739881685
241,2015,New York,236.796927,Mathematics,4,2631532,63712218,2869847,65094591,41954260,15.94290322139347
242,2007,Oklahoma,236.8021942,Mathematics,4,639032,5491931,650579,5505213,2688963,4.207869089497866
243,2013,Michigan,236.8197784,Mathematics,4,1381167,18270327,1636324,17468264,8885537,6.433354547277773
244,2011,Oregon,236.914497,Mathematics,4,559631,6112484,848637,6317635,3261190,5.827393407441689
245,2011,Nevada,237.0318789,Mathematics,4,429610,4146577,447002,4258855,2161550,5.031423849537953
246,2015,South Carolina,237.0895715,Mathematics,4,737401,8759944,836137,8783362,4123140,5.591448886019954
247,2007,South Carolina,237.1074115,Mathematics,4,701580,7130274,680718,7660995,3481608,4.962524587359959
248,2009,Alaska,237.2122843,Mathematics,4,130236,2158970,312667,2396412,1129756,8.674682883380939
249,2003,South Dakota,237.2648206,Mathematics,4,127632,965778,148498,993823,499480,3.9134386360787263
250,2007,Alaska,237.2738932,Mathematics,4,132197,1800616,282270,1938755,927307,7.014584294651165
251,2007,Illinois,237.2870413,Mathematics,4,2101075,23897153,1862627,23401917,11692204,5.564867508299323
252,2011,South Carolina,237.303025,Mathematics,4,713511,7772777,1041572,7961448,3689782,5.171303595880092
253,2003,Texas,237.3059218,Mathematics,4,4201914,35143236,3360082,37333674,18009879,4.286113185562579
254,2015,Illinois,237.3078138,Mathematics,4,2047123,32096832,2262192,32410033,17313173,8.457319369671485
255,2011,Oklahoma,237.4290823,Mathematics,4,658163,5835133,968529,5644988,2866601,4.355457538634046
256,2013,West Virginia,237.4406327,Mathematics,4,282310,3486366,383169,3488877,1828234,6.475980305338103
257,2011,New York,237.5199426,Mathematics,4,2677412,57753776,5118477,59446908,37834196,14.130883106522269
258,2009,Arkansas,237.5405919,Mathematics,4,474423,4753142,534510,5017352,2417974,5.096662682880046
259,2003,North Dakota,237.5773868,Mathematics,4,103785,882913,126023,895278,448720,4.323553500024088
260,2007,Michigan,237.6055535,Mathematics,4,1686473,20576110,1541818,19839838,9608836,5.69759254965837
261,2015,Arizona,237.6117554,Mathematics,4,944978,8230507,1093834,7902600,3846357,4.070313806247341
262,2003,Maine,237.6157104,Mathematics,4,203848,2162605,163516,2154117,1255095,6.157014049684078
