,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
610,2013,Louisiana,272.7609665,Mathematics,8,671156,8121179,1229248,7940880,3963343,5.905248556222398
611,2013,New Mexico,272.7618089,Mathematics,8,327209,3518621,519318,3536546,1709797,5.225397223181514
612,2011,California,272.7698031,Mathematics,8,6202604,70953331,9990221,69847705,34225248,5.517883779135344
613,1992,Massachusetts,272.7832013,Mathematics,8,0,5517659,273946,5245560,2751871,5.713752923891132
614,2011,Louisiana,272.8433339,Mathematics,8,665109,8022917,1497262,8218870,4162557,6.258458388023617
615,2011,West Virginia,273.2631731,Mathematics,8,282130,3475642,510256,3670119,2010407,7.125817885371991
616,1996,Missouri,273.2848872,Mathematics,8,873867,5251014,324566,5277785,2745318,3.1415741754752156
617,2000,Rhode Island,273.4257851,Mathematics,8,155351,1464820,81655,1388454,845667,5.443589033865247
618,2000,Missouri,273.5757804,Mathematics,8,913517,6675260,437898,6708608,3459281,3.7867724410164234
619,1992,Connecticut,273.7393446,Mathematics,8,0,3834302,143542,3721338,2148041,5.713752923891132
620,2009,Hawaii,273.7586067,Mathematics,8,179478,2689758,392837,2318671,1402305,7.813241734362986
621,2007,Arkansas,273.8998622,Mathematics,8,474532,4415981,483689,4779308,2337748,4.926428565407601
622,2007,Tennessee,273.9787866,Mathematics,8,978084,7617488,805633,7817659,4473035,4.573262623660136
623,2005,Kentucky,273.9830272,Mathematics,8,674502,5444309,646215,5750671,2864633,4.247034108127181
624,2011,Tennessee,274.0387103,Mathematics,8,986382,8679893,1272825,8961443,4947165,5.015465610686326
625,2005,Florida,274.0483769,Mathematics,8,2645280,23216404,2328513,23857012,11270907,4.2607614316820905
626,2009,Nevada,274.1485417,Mathematics,8,430985,4442101,425133,4577881,2145779,4.97877884381127
627,2003,Kentucky,274.2784722,Mathematics,8,660782,4872025,503734,4700494,2688476,4.068627777391031
628,2005,Arizona,274.30509,Mathematics,8,919875,7550109,897553,7136794,3423716,3.7219361326267157
629,1992,Utah,274.3431771,Mathematics,8,0,1555799,105349,1547980,841552,5.713752923891132
630,2013,West Virginia,274.4301347,Mathematics,8,282310,3486366,383169,3488877,1828234,6.475980305338103
631,2011,New Mexico,274.4547015,Mathematics,8,331373,3591330,636436,3694437,1744548,5.264605142845072
632,2007,Oklahoma,274.5349894,Mathematics,8,639032,5491931,650579,5505213,2688963,4.207869089497866
633,2015,Oklahoma,274.5859821,Mathematics,8,671715,6121188,688990,6184819,3000894,4.467510774658895
634,2009,Tennessee,274.7618211,Mathematics,8,971484,8112895,870374,8611178,4809809,4.950991472839491
635,2007,Georgia,274.7786646,Mathematics,8,1628409,17755989,1475463,17389530,9507096,5.838272817209927
636,1996,Wyoming,274.778947,Mathematics,8,99859,664057,41007,676305,360100,3.606084579256752
637,2000,Texas,274.8460159,Mathematics,8,3965971,28918934,2406972,31067935,15018072,3.786732681605589
638,2015,Arkansas,275.0647564,Mathematics,8,479682,5308625,581412,5350543,2620399,5.46278367751969
639,1992,Wyoming,275.0800761,Mathematics,8,0,629748,31714,624941,339953,5.713752923891132
640,1992,Idaho,275.0902941,Mathematics,8,0,859329,69138,886161,473505,5.713752923891132
641,2015,Nevada,275.1718688,Mathematics,8,438948,4345419,395630,4183085,2170424,4.944603916637051
